iter	Passed	Remaining
0	19	19858
1	34	17057
2	47	15667
3	60	15066
4	73	14663
5	92	15326
6	113	16059
7	126	15737
8	140	15440
9	154	15302
10	168	15145
11	181	14974
12	210	15946
13	225	15852
14	242	15940
15	259	15953
16	275	15956
17	314	17161
18	333	17203
19	350	17154
20	366	17105
21	382	16993
22	414	17611
23	430	17488
24	447	17445
25	464	17403
26	478	17238
27	506	17567
28	519	17410
29	533	17244
30	547	17122
31	560	16954
32	574	16823
33	600	17062
34	615	16973
35	628	16842
36	643	16754
37	658	16666
38	672	16571
39	695	16680
40	714	16715
41	728	16607
42	741	16501
43	754	16386
44	767	16293
45	780	16193
46	809	16406
47	822	16311
48	836	16230
49	851	16177
50	865	16109
51	879	16030
52	913	16317
53	928	16259
54	942	16195
55	958	16158
56	973	16110
57	1010	16411
58	1028	16399
59	1045	16376
60	1060	16331
61	1082	16380
62	1114	16573
63	1130	16536
64	1145	16478
65	1159	16409
66	1173	16338
67	1201	16472
68	1217	16427
69	1231	16365
70	1245	16298
71	1259	16232
72	1274	16178
73	1298	16245
74	1315	16221
75	1330	16170
76	1344	16112
77	1357	16052
78	1372	15998
79	1395	16048
80	1420	16117
81	1436	16081
82	1452	16042
83	1469	16022
84	1492	16066
85	1515	16105
86	1532	16086
87	1550	16065
88	1564	16010
89	1573	15910
90	1607	16057
91	1622	16010
92	1635	15945
93	1648	15887
94	1663	15843
95	1677	15795
96	1705	15879
97	1719	15823
98	1732	15768
99	1746	15714
100	1759	15664
101	1772	15600
102	1800	15683
103	1813	15624
104	1825	15561
105	1839	15511
106	1853	15464
107	1866	15418
108	1888	15436
109	1909	15446
110	1922	15396
111	1935	15347
112	1950	15307
113	1963	15262
114	1978	15225
115	2003	15269
116	2018	15231
117	2032	15195
118	2048	15165
119	2063	15131
120	2084	15143
121	2109	15183
122	2126	15159
123	2143	15142
124	2159	15118
125	2177	15106
126	2206	15168
127	2226	15170
128	2240	15130
129	2255	15095
130	2269	15056
131	2297	15110
132	2313	15080
133	2327	15041
134	2342	15007
135	2356	14969
136	2370	14929
137	2396	14967
138	2410	14932
139	2424	14891
140	2438	14853
141	2452	14820
142	2464	14767
143	2483	14761
144	2506	14780
145	2521	14750
146	2534	14707
147	2547	14665
148	2560	14622
149	2576	14597
150	2603	14637
151	2617	14600
152	2630	14561
153	2643	14524
154	2657	14488
155	2671	14454
156	2698	14491
157	2712	14457
158	2727	14425
159	2741	14394
160	2753	14348
161	2766	14311
162	2792	14337
163	2807	14312
164	2820	14275
165	2834	14240
166	2848	14207
167	2862	14176
168	2886	14194
169	2907	14195
170	2922	14169
171	2936	14135
172	2949	14098
173	2964	14072
